wetland_code,wetland,station,sitecode,log_flux,fluxrate,wl_cm,wfps,wl_rising,wl_change1,wl_change7,flux_cat,colorcat,event,date,wl_delta1,wl_delta7,air_temp_C,DEWP,STP_kPa,precip_mm,snow_mm,RH,water_temp_C,precip_sum2,precip_sum3,precip_sum4,ice_cover,soil_temp,vwc,dist_m,rel_elev_m,afp,wfps_interp,inundated
W6,BB,NA,NA,-3.131116810762196,-0.006331,-52.47412682257801,56.738940282861016,Water level falling,falling,falling,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W6,BB,NA,NA,-3.041229764526409,-0.0022239,-65.0694711113402,43.5753618719472,Water level falling,falling,falling,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W6,BB,NA,NA,-3.0770030683512473,-0.0039028,-77.5945356407376,46.08201497066559,Water level falling,falling,falling,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W6,BB,NA,NA,-2.934765498513941,0.00314318,-8.05399921475715,70.36295596816586,Water level rising,falling,rising,NA,Non-inundated source,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-2.5944958269791294,0.02468352,-44.813535425241604,54.789019729165254,Water level falling,falling,falling,NA,Non-inundated source,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-3.0576991708191876,-0.0030043,-66.9288220578248,46.44666768062566,Water level falling,falling,falling,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-2.504398018330212,0.03172478,-128.25909255941502,23.311597525006945,Water level falling,falling,falling,NA,Non-inundated source,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-3.0643259390199846,-0.0033147,-32.077159333316104,61.314890159689924,Water level rising,falling,rising,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-3.0615516145912847,-0.003185,-51.4493086014178,54.007307318178896,Water level rising,falling,rising,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-3.06254965599133,-0.0032317,-108.436278275912,32.510621740355546,Water level rising,falling,rising,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
